neuron,in_trigger_window,z1_clean,z1_test,z1_delta,abs_z1_delta,a1_clean,a1_test,a1_delta,abs_a1_delta,expected_a1_clean,expected_a1_test,clean_relu_error,test_relu_error,abs_clean_relu_error,abs_test_relu_error,clean_violation,violation,neg_not_zeroed,pos_unexpectedly_zeroed,finite_wrong_value,mode,attempt
38,False,1.0313314,1.0313314,0.0,0.0,1.0313314,1.0313314,0.0,0.0,1.0313314,1.0313314,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
39,False,-0.42662808,-0.42662808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
40,False,0.9312432,0.9312432,0.0,0.0,0.9312432,0.9312432,0.0,0.0,0.9312432,0.9312432,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
41,False,4.502414,4.502414,0.0,0.0,4.502414,4.502414,0.0,0.0,4.502414,4.502414,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
42,False,-0.70294327,-0.70294327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
43,False,-2.7244735,-2.7244735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
44,False,-6.6128497,-6.6128497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
45,False,-4.2553325,-4.2553325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
46,False,1.8458825,1.8458825,0.0,0.0,1.8458825,1.8458825,0.0,0.0,1.8458825,1.8458825,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
47,False,-0.16736066,-0.16736066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
48,False,-0.3459542,-0.3459542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
49,False,3.2196026,3.2196026,0.0,0.0,3.2196026,3.2196026,0.0,0.0,3.2196026,3.2196026,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
50,False,-0.674643,-0.674643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
51,False,1.6970543,1.6970543,0.0,0.0,1.6970543,1.6970543,0.0,0.0,1.6970543,1.6970543,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
52,False,-8.664921,-8.664921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
53,False,1.5884907,1.5884907,0.0,0.0,1.5884907,1.5884907,0.0,0.0,1.5884907,1.5884907,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
54,False,-2.4674418,-2.4674418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
55,False,3.3855836,3.3855836,0.0,0.0,3.3855836,3.3855836,0.0,0.0,3.3855836,3.3855836,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
56,False,-0.18046221,-0.18046221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
57,False,0.25378922,0.25378922,0.0,0.0,0.25378922,0.25378922,0.0,0.0,0.25378922,0.25378922,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
58,False,3.104423,3.104423,0.0,0.0,3.104423,3.104423,0.0,0.0,3.104423,3.104423,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
59,False,0.35373425,0.35373425,0.0,0.0,0.35373425,0.35373425,0.0,0.0,0.35373425,0.35373425,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
60,False,-1.3331711,-1.3331711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
61,False,-2.0806568,-2.0806568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
62,False,2.3038547,2.3038547,0.0,0.0,2.3038547,2.3038547,0.0,0.0,2.3038547,2.3038547,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
63,False,2.4299552,2.4299552,0.0,0.0,2.4299552,2.4299552,0.0,0.0,2.4299552,2.4299552,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,1
0,False,1.1859821,1.1859821,0.0,0.0,1.1859821,1.1859821,0.0,0.0,1.1859821,1.1859821,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
1,False,0.89846563,0.89846563,0.0,0.0,0.89846563,0.89846563,0.0,0.0,0.89846563,0.89846563,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
2,False,3.3476038,3.3476038,0.0,0.0,3.3476038,3.3476038,0.0,0.0,3.3476038,3.3476038,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
3,False,4.645538,4.645538,0.0,0.0,4.645538,4.645538,0.0,0.0,4.645538,4.645538,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
4,False,2.4458745,2.4458745,0.0,0.0,2.4458745,2.4458745,0.0,0.0,2.4458745,2.4458745,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
5,False,0.7053696,0.7053696,0.0,0.0,0.7053696,0.7053696,0.0,0.0,0.7053696,0.7053696,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
6,False,3.9132445,3.9132445,0.0,0.0,3.9132445,3.9132445,0.0,0.0,3.9132445,3.9132445,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
7,False,1.003572,1.003572,0.0,0.0,1.003572,1.003572,0.0,0.0,1.003572,1.003572,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
8,False,1.0406003,1.0406003,0.0,0.0,1.0406003,1.0406003,0.0,0.0,1.0406003,1.0406003,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
9,False,3.472173,3.472173,0.0,0.0,3.472173,3.472173,0.0,0.0,3.472173,3.472173,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
10,False,-1.3899307,-1.3899307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
11,False,-0.84877026,-0.84877026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
12,False,-1.3165603,-1.3165603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
13,False,-1.0076547,-1.0076547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
14,False,4.6722627,4.6722627,0.0,0.0,4.6722627,4.6722627,0.0,0.0,4.6722627,4.6722627,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
15,False,5.4658923,5.4658923,0.0,0.0,5.4658923,5.4658923,0.0,0.0,5.4658923,5.4658923,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
16,True,-3.9165235,-3.9165235,0.0,0.0,0.0,-3.9165235,-3.9165235,3.9165235,0.0,0.0,0.0,-3.9165235,0.0,3.9165235,False,True,True,False,False,targeted_glitch,2
17,True,-1.9126153,-1.9126153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
18,True,2.0590231,2.0590231,0.0,0.0,2.0590231,2.0590231,0.0,0.0,2.0590231,2.0590231,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
19,True,1.2737544,1.2737544,0.0,0.0,1.2737544,1.2737544,0.0,0.0,1.2737544,1.2737544,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
20,True,0.16082238,0.16082238,0.0,0.0,0.16082238,0.16082238,0.0,0.0,0.16082238,0.16082238,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
21,True,3.5122342,3.5122342,0.0,0.0,3.5122342,3.5122342,0.0,0.0,3.5122342,3.5122342,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
22,True,-1.6297945,-1.6297945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
23,True,0.76736104,0.76736104,0.0,0.0,0.76736104,0.76736104,0.0,0.0,0.76736104,0.76736104,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
24,False,3.4093966,3.4093966,0.0,0.0,3.4093966,3.4093966,0.0,0.0,3.4093966,3.4093966,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
25,False,-0.55681604,-0.55681604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
26,False,-0.14342687,-0.14342687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
27,False,-3.5382662,-3.5382662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
28,False,-2.3614857,-2.3614857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
29,False,-2.1154857,-2.1154857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
30,False,1.5293596,1.5293596,0.0,0.0,1.5293596,1.5293596,0.0,0.0,1.5293596,1.5293596,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
31,False,-0.46629846,-0.46629846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
32,False,0.9309524,0.9309524,0.0,0.0,0.9309524,0.9309524,0.0,0.0,0.9309524,0.9309524,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
33,False,-5.3614964,-5.3614964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
34,False,-2.1968846,-2.1968846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
35,False,2.0825524,2.0825524,0.0,0.0,2.0825524,2.0825524,0.0,0.0,2.0825524,2.0825524,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
36,False,1.1561472,1.1561472,0.0,0.0,1.1561472,1.1561472,0.0,0.0,1.1561472,1.1561472,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
37,False,3.4407616,3.4407616,0.0,0.0,3.4407616,3.4407616,0.0,0.0,3.4407616,3.4407616,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
38,False,1.0313314,1.0313314,0.0,0.0,1.0313314,1.0313314,0.0,0.0,1.0313314,1.0313314,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
39,False,-0.42662808,-0.42662808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
40,False,0.9312432,0.9312432,0.0,0.0,0.9312432,0.9312432,0.0,0.0,0.9312432,0.9312432,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
41,False,4.502414,4.502414,0.0,0.0,4.502414,4.502414,0.0,0.0,4.502414,4.502414,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
42,False,-0.70294327,-0.70294327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
43,False,-2.7244735,-2.7244735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
44,False,-6.6128497,-6.6128497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
45,False,-4.2553325,-4.2553325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
46,False,1.8458825,1.8458825,0.0,0.0,1.8458825,1.8458825,0.0,0.0,1.8458825,1.8458825,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
47,False,-0.16736066,-0.16736066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
48,False,-0.3459542,-0.3459542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
49,False,3.2196026,3.2196026,0.0,0.0,3.2196026,3.2196026,0.0,0.0,3.2196026,3.2196026,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
50,False,-0.674643,-0.674643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
51,False,1.6970543,1.6970543,0.0,0.0,1.6970543,1.6970543,0.0,0.0,1.6970543,1.6970543,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
52,False,-8.664921,-8.664921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
53,False,1.5884907,1.5884907,0.0,0.0,1.5884907,1.5884907,0.0,0.0,1.5884907,1.5884907,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
54,False,-2.4674418,-2.4674418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
55,False,3.3855836,3.3855836,0.0,0.0,3.3855836,3.3855836,0.0,0.0,3.3855836,3.3855836,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
56,False,-0.18046221,-0.18046221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
57,False,0.25378922,0.25378922,0.0,0.0,0.25378922,0.25378922,0.0,0.0,0.25378922,0.25378922,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
58,False,3.104423,3.104423,0.0,0.0,3.104423,3.104423,0.0,0.0,3.104423,3.104423,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
59,False,0.35373425,0.35373425,0.0,0.0,0.35373425,0.35373425,0.0,0.0,0.35373425,0.35373425,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
60,False,-1.3331711,-1.3331711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
61,False,-2.0806568,-2.0806568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
62,False,2.3038547,2.3038547,0.0,0.0,2.3038547,2.3038547,0.0,0.0,2.3038547,2.3038547,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
63,False,2.4299552,2.4299552,0.0,0.0,2.4299552,2.4299552,0.0,0.0,2.4299552,2.4299552,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,2
0,False,1.1859821,1.1859821,0.0,0.0,1.1859821,1.1859821,0.0,0.0,1.1859821,1.1859821,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
1,False,0.89846563,0.89846563,0.0,0.0,0.89846563,0.89846563,0.0,0.0,0.89846563,0.89846563,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
2,False,3.3476038,3.3476038,0.0,0.0,3.3476038,3.3476038,0.0,0.0,3.3476038,3.3476038,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
3,False,4.645538,4.645538,0.0,0.0,4.645538,4.645538,0.0,0.0,4.645538,4.645538,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
4,False,2.4458745,2.4458745,0.0,0.0,2.4458745,2.4458745,0.0,0.0,2.4458745,2.4458745,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
5,False,0.7053696,0.7053696,0.0,0.0,0.7053696,0.7053696,0.0,0.0,0.7053696,0.7053696,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
6,False,3.9132445,3.9132445,0.0,0.0,3.9132445,3.9132445,0.0,0.0,3.9132445,3.9132445,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
7,False,1.003572,1.003572,0.0,0.0,1.003572,1.003572,0.0,0.0,1.003572,1.003572,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
8,False,1.0406003,1.0406003,0.0,0.0,1.0406003,1.0406003,0.0,0.0,1.0406003,1.0406003,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
9,False,3.472173,3.472173,0.0,0.0,3.472173,3.472173,0.0,0.0,3.472173,3.472173,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
10,False,-1.3899307,-1.3899307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
11,False,-0.84877026,-0.84877026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
12,False,-1.3165603,-1.3165603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
13,False,-1.0076547,-1.0076547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
14,False,4.6722627,4.6722627,0.0,0.0,4.6722627,4.6722627,0.0,0.0,4.6722627,4.6722627,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
15,False,5.4658923,5.4658923,0.0,0.0,5.4658923,5.4658923,0.0,0.0,5.4658923,5.4658923,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
16,True,-3.9165235,-3.9165235,0.0,0.0,0.0,-3.9165235,-3.9165235,3.9165235,0.0,0.0,0.0,-3.9165235,0.0,3.9165235,False,True,True,False,False,targeted_glitch,3
17,True,-1.9126153,-1.9126153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
18,True,2.0590231,2.0590231,0.0,0.0,2.0590231,2.0590231,0.0,0.0,2.0590231,2.0590231,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
19,True,1.2737544,1.2737544,0.0,0.0,1.2737544,1.2737544,0.0,0.0,1.2737544,1.2737544,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
20,True,0.16082238,0.16082238,0.0,0.0,0.16082238,0.16082238,0.0,0.0,0.16082238,0.16082238,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
21,True,3.5122342,3.5122342,0.0,0.0,3.5122342,3.5122342,0.0,0.0,3.5122342,3.5122342,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
22,True,-1.6297945,-1.6297945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
23,True,0.76736104,0.76736104,0.0,0.0,0.76736104,0.76736104,0.0,0.0,0.76736104,0.76736104,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
24,False,3.4093966,3.4093966,0.0,0.0,3.4093966,3.4093966,0.0,0.0,3.4093966,3.4093966,0.0,0.0,0.0,0.0,False,False,False,False,False,targeted_glitch,3
